0	24.33963418	0	0	57.96404481	63.28330636	92.04159379	97.41273522	34.13305879	8.501392603	0	0	43.92023683	13.11889291	0	94.92898583	40.45057893	30.26080728	84.720999	0
24.33963418	0	0	73.85107875	0	72.56256938	92.0316875	0	14.01893497	65.85347056	67.89705157	54.96413112	0	0	85.38839221	91.94399714	0	0	0	0
0	0	0	49.04459119	40.96282125	0	53.19741368	0	39.55920339	0	75.43881536	0	61.22687459	0	22.31400609	0	0	19.07089353	96.94798589	68.55219007
0	73.85107875	49.04459119	0	61.08250022	0	4.982894659	29.04109359	78.52806449	0	60.23363471	43.33114028	0	39.18160796	87.18847632	0	0	0	0	48.74228835
57.96404481	0	40.96282125	61.08250022	0	10.12077928	32.69773126	0	61.20582223	0	0	61.52334809	57.69343972	47.02911973	13.95421624	0	76.08047128	0	0	0
63.28330636	72.56256938	0	0	10.12077928	0	86.94083095	94.44400668	42.9277122	0	0	99.59403872	97.64439464	0	90.90544581	19.80754733	0	81.85216784	0	33.2095325
92.04159379	92.0316875	53.19741368	4.982894659	32.69773126	86.94083095	0	0.494223833	0	0	2.063733339	0	36.42662168	0	58.00264478	0	79.68242764	42.0504868	0	42.74333119
97.41273522	0	0	29.04109359	0	94.44400668	0.494223833	0	0	1.947158575	0	0	48.47936034	0	82.70263076	0	0	28.87930274	0	81.40396476
34.13305879	14.01893497	39.55920339	78.52806449	61.20582223	42.9277122	0	0	0	81.9386065	0	0	74.06826615	0	42.4292624	0	44.19479966	65.73415399	48.50550294	0
8.501392603	65.85347056	0	0	0	0	0	1.947158575	81.9386065	0	15.85895419	57.43348002	0	0	0	0	88.36366534	0	95.32405734	0
0	67.89705157	75.43881536	60.23363471	0	0	2.063733339	0	0	15.85895419	0	0	3.607875109	0	0	71.37306333	0	0	38.88342977	79.96090055
0	54.96413112	0	43.33114028	61.52334809	99.59403872	0	0	0	57.43348002	0	0	0	0	10.83549857	77.0598352	0	0	0	0
43.92023683	0	61.22687459	0	57.69343972	97.64439464	36.42662168	48.47936034	74.06826615	0	3.607875109	0	0	18.74819398	5.097728968	0	5.193954706	0	54.12440896	19.87610459
13.11889291	0	0	39.18160796	47.02911973	0	0	0	0	0	0	0	18.74819398	0	16.07987285	0	78.85996699	0	43.64811778	0
0	85.38839221	22.31400609	87.18847632	13.95421624	90.90544581	58.00264478	82.70263076	42.4292624	0	0	10.83549857	5.097728968	16.07987285	0	0	0	0	0	96.07403874
94.92898583	91.94399714	0	0	0	19.80754733	0	0	0	0	71.37306333	77.0598352	0	0	0	0	28.11259627	96.32515311	31.03093505	38.13814521
40.45057893	0	0	0	76.08047128	0	79.68242764	0	44.19479966	88.36366534	0	0	5.193954706	78.85996699	0	28.11259627	0	0	0	0
30.26080728	0	19.07089353	0	0	81.85216784	42.0504868	28.87930274	65.73415399	0	0	0	0	0	0	96.32515311	0	0	51.32429004	0
84.720999	0	96.94798589	0	0	0	0	0	48.50550294	95.32405734	38.88342977	0	54.12440896	43.64811778	0	31.03093505	0	51.32429004	0	0
0	0	68.55219007	48.74228835	0	33.2095325	42.74333119	81.40396476	0	0	79.96090055	0	19.87610459	0	96.07403874	38.13814521	0	0	0	0
